gun,tarix,hefte,yeni_mesaj,izleme,zeng,ziyaret,cavab,demo,test_hesab,odeyen,mrr,qeyd
1,,1,5,0,0,0,0,0,0,0,0,Siyahı + ilk 5
2,,1,5,0,2,0,0,0,0,0,0,
3,,1,5,2,2,1,0,0,0,0,0,
4,,1,5,2,2,1,0,0,0,0,0,
5,,1,5,2,2,1,0,0,0,0,0,
6,,1,5,2,1,1,0,0,0,0,0,Şənbə klub saatı
7,,1,0,4,0,0,0,0,0,0,0,Bazar: yalnız izləmə
8,,2,5,2,2,1,0,0,0,0,0,
9,,2,5,2,2,1,0,0,0,0,0,
10,,2,5,2,2,1,0,0,0,0,0,
11,,2,5,2,2,1,0,0,0,0,0,
12,,2,5,2,2,1,0,0,0,0,0,
13,,2,5,2,1,1,0,0,0,0,0,
14,,2,0,4,0,0,0,0,0,0,0,Həftə cəmi yoxla
15,,3,3,3,2,1,0,0,0,0,0,Ads start (opsional)
16,,3,3,3,2,1,0,0,0,0,0,
17,,3,3,3,2,1,0,0,0,0,0,
18,,3,3,3,2,1,0,0,0,0,0,
19,,3,3,3,2,1,0,0,0,0,0,
20,,3,2,2,1,1,0,0,0,0,0,
21,,3,0,3,0,0,0,0,0,0,0,CPL yoxla
22,,4,4,2,2,1,0,0,0,0,0,Yeni 20 məkan
23,,4,4,2,2,1,0,0,0,0,0,
24,,4,4,2,2,1,0,0,0,0,0,
25,,4,4,2,2,1,0,0,0,0,0,
26,,4,4,2,2,1,0,0,0,0,0,
27,,4,0,3,1,1,0,0,0,0,0,Bağlama günü
28,,4,0,2,0,0,0,0,0,0,0,
29,,4,0,2,1,0,0,0,0,0,0,
30,,4,0,2,0,0,0,0,0,0,0,Ay yekunu
TOTAL,,,"80","64","48","24",,,,,,Hədəf: 8–15 demo · 1–5 ödəyən
